[turntable] importing /home/hatch/workspace/rpg-crawler-game/art-work/incoming/batch2/batch2_01_generated_from_glb__4_.glb
01:12:28 | INFO: Data are loaded, start creating Blender stuff
01:12:28 | INFO: Blender create Mesh node textured_mesh.obj
01:12:28 | INFO: glTF import finished in 0.27s
[turntable] normalized: raw height 1.31 m -> 1.75 m (scale 1.337)
[turntable] studio 3-point lighting rigged
Blender 4.2.3 LTS (hash 0e22e4fcea03 built 2024-10-14 23:31:34)
Fra:1 Mem:52.90M (Peak 83.44M) | Time:00:00.52 | Mem:34.76M, Peak:34.76M | Scene, ViewLayer | Updating Camera Volume
Fra:1 Mem:52.90M (Peak 83.44M) | Time:00:00.52 | Mem:34.76M, Peak:34.76M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:52.90M (Peak 83.44M) | Time:00:00.52 | Mem:34.84M, Peak:34.84M | Scene, ViewLayer | Updating Lights
Fra:1 Mem:52.90M (Peak 83.44M) | Time:00:00.52 | Mem:34.84M, Peak:34.84M | Scene, ViewLayer | Updating Lights | Computing tree
Fra:1 Mem:52.90M (Peak 83.44M) | Time:00:00.52 | Mem:34.84M, Peak:34.84M | Scene, ViewLayer | Updating Integrator
Fra:1 Mem:52.90M (Peak 83.44M) | Time:00:00.52 | Mem:34.84M, Peak:34.84M | Scene, ViewLayer | Updating Film
Fra:1 Mem:52.90M (Peak 83.44M) | Time:00:00.52 | Mem:34.76M, Peak:34.84M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:52.90M (Peak 83.44M) | Time:00:00.52 | Mem:34.84M, Peak:34.84M | Scene, ViewLayer | Updating Baking
Fra:1 Mem:52.90M (Peak 83.44M) | Time:00:00.52 | Mem:34.84M, Peak:34.84M | Scene, ViewLayer | Updating Device | Writing constant memory
Fra:1 Mem:52.90M (Peak 83.44M) | Time:00:00.52 | Mem:34.84M, Peak:34.84M | Scene, ViewLayer | Loading denoising kernels (may take a few minutes the first time)
Fra:1 Mem:52.90M (Peak 83.44M) | Time:00:00.52 | Mem:34.84M, Peak:34.84M | Scene, ViewLayer | Sample 0/12
Fra:1 Mem:95.66M (Peak 95.66M) | Time:00:03.67 | Remaining:00:34.66 | Mem:77.60M, Peak:77.60M | Scene, ViewLayer | Sample 1/12
Fra:1 Mem:95.66M (Peak 95.66M) | Time:00:30.69 | Remaining:00:10.05 | Mem:77.60M, Peak:77.60M | Scene, ViewLayer | Sample 9/12
Fra:1 Mem:113.66M (Peak 140.67M) | Time:01:05.16 | Mem:77.60M, Peak:77.60M | Scene, ViewLayer | Sample 12/12
Fra:1 Mem:113.66M (Peak 140.67M) | Time:01:05.16 | Mem:77.60M, Peak:77.60M | Scene, ViewLayer | Finished
Saved: '/home/hatch/workspace/rpg-crawler-game/art-work/incoming/batch2/work_A/id_01_threequarter.png'
Time: 01:05.65 (Saving: 00:00.48)

[turntable] rendered /home/hatch/workspace/rpg-crawler-game/art-work/incoming/batch2/work_A/id_01_threequarter.png
Fra:1 Mem:18.03M (Peak 18.03M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | textured_mesh.obj
Fra:1 Mem:19.64M (Peak 19.64M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TurntableGround
Fra:1 Mem:19.43M (Peak 19.64M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Initializing
Fra:1 Mem:19.42M (Peak 19.64M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Images | Loading Image_1
Fra:1 Mem:35.42M (Peak 35.42M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Images | Loading Image_0
Fra:1 Mem:51.09M (Peak 83.44M) | Time:00:00.47 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Waiting for render to start
Fra:1 Mem:51.10M (Peak 83.44M) | Time:00:00.47 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:51.10M (Peak 83.44M) | Time:00:00.47 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Scene
Fra:1 Mem:51.10M (Peak 83.44M) | Time:00:00.47 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Shaders
Fra:1 Mem:51.18M (Peak 83.44M) | Time:00:00.47 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Procedurals
Fra:1 Mem:51.18M (Peak 83.44M) | Time:00:00.47 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Background
Fra:1 Mem:51.18M (Peak 83.44M) | Time:00:00.47 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Camera
Fra:1 Mem:51.18M (Peak 83.44M) | Time:00:00.47 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Meshes Flags
Fra:1 Mem:51.18M (Peak 83.44M) | Time:00:00.47 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Objects
Fra:1 Mem:51.18M (Peak 83.44M) | Time:00:00.47 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Objects | Copying Transformations to device
Fra:1 Mem:51.18M (Peak 83.44M) | Time:00:00.47 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Objects | Applying Static Transformations
Fra:1 Mem:51.18M (Peak 83.44M) | Time:00:00.47 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Particle Systems
Fra:1 Mem:51.18M (Peak 83.44M) | Time:00:00.47 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Particle Systems | Copying Particles to device
Fra:1 Mem:51.18M (Peak 83.44M) | Time:00:00.47 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Meshes
Fra:1 Mem:51.48M (Peak 83.44M) | Time:00:00.47 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Mesh | Computing attributes
Fra:1 Mem:52.10M (Peak 83.44M) | Time:00:00.47 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Mesh | Copying Attributes to device
Fra:1 Mem:52.10M (Peak 83.44M) | Time:00:00.47 | Mem:32.62M, Peak:32.62M | Scene, ViewLayer | Updating Scene BVH | Building
Fra:1 Mem:52.10M (Peak 83.44M) | Time:00:00.47 | Mem:32.62M, Peak:32.62M | Scene, ViewLayer | Updating Scene BVH | Building BVH
Fra:1 Mem:52.10M (Peak 83.44M) | Time:00:00.47 | Mem:33.23M, Peak:33.23M | Scene, ViewLayer | Updating Scene BVH | Building BVH 0%
Fra:1 Mem:52.10M (Peak 83.44M) | Time:00:00.48 | Mem:33.96M, Peak:34.57M | Scene, ViewLayer | Updating Scene BVH | Copying BVH to device
Fra:1 Mem:52.10M (Peak 83.44M) | Time:00:00.48 | Mem:33.96M, Peak:34.57M | Scene, ViewLayer | Updating Mesh | Computing normals
Fra:1 Mem:52.90M (Peak 83.44M) | Time:00:00.48 | Mem:33.96M, Peak:34.57M | Scene, ViewLayer | Updating Mesh | Copying Mesh to device
Fra:1 Mem:52.90M (Peak 83.44M) | Time:00:00.48 | Mem:34.76M, Peak:34.76M | Scene, ViewLayer | Updating Objects Flags
Fra:1 Mem:52.90M (Peak 83.44M) | Time:00:00.48 | Mem:34.76M, Peak:34.76M | Scene, ViewLayer | Updating Primitive Offsets
Fra:1 Mem:52.90M (Peak 83.44M) | Time:00:00.48 | Mem:34.76M, Peak:34.76M | Scene, ViewLayer | Updating Images
Fra:1 Mem:52.90M (Peak 83.44M) | Time:00:00.48 | Mem:34.76M, Peak:34.76M | Scene, ViewLayer | Updating Camera Volume
Fra:1 Mem:52.90M (Peak 83.44M) | Time:00:00.48 | Mem:34.76M, Peak:34.76M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:52.90M (Peak 83.44M) | Time:00:00.48 | Mem:34.84M, Peak:34.84M | Scene, ViewLayer | Updating Lights
Fra:1 Mem:52.90M (Peak 83.44M) | Time:00:00.48 | Mem:34.84M, Peak:34.84M | Scene, ViewLayer | Updating Lights | Computing tree
Fra:1 Mem:52.90M (Peak 83.44M) | Time:00:00.48 | Mem:34.84M, Peak:34.84M | Scene, ViewLayer | Updating Integrator
Fra:1 Mem:52.90M (Peak 83.44M) | Time:00:00.48 | Mem:34.84M, Peak:34.84M | Scene, ViewLayer | Updating Film
Fra:1 Mem:52.90M (Peak 83.44M) | Time:00:00.48 | Mem:34.76M, Peak:34.84M | Scene, ViewLayer | Updating Lookup Tables
Fra:1 Mem:52.90M (Peak 83.44M) | Time:00:00.48 | Mem:34.84M, Peak:34.84M | Scene, ViewLayer | Updating Baking
Fra:1 Mem:52.90M (Peak 83.44M) | Time:00:00.48 | Mem:34.84M, Peak:34.84M | Scene, ViewLayer | Updating Device | Writing constant memory
Fra:1 Mem:52.90M (Peak 83.44M) | Time:00:00.48 | Mem:34.84M, Peak:34.84M | Scene, ViewLayer | Loading denoising kernels (may take a few minutes the first time)
Fra:1 Mem:52.90M (Peak 83.44M) | Time:00:00.48 | Mem:34.84M, Peak:34.84M | Scene, ViewLayer | Sample 0/12
Fra:1 Mem:95.66M (Peak 95.66M) | Time:00:03.50 | Remaining:00:33.20 | Mem:77.60M, Peak:77.60M | Scene, ViewLayer | Sample 1/12
Fra:1 Mem:95.66M (Peak 95.66M) | Time:00:21.29 | Remaining:00:06.93 | Mem:77.60M, Peak:77.60M | Scene, ViewLayer | Sample 9/12
Fra:1 Mem:113.66M (Peak 140.67M) | Time:00:55.65 | Mem:77.60M, Peak:77.60M | Scene, ViewLayer | Sample 12/12
Fra:1 Mem:113.66M (Peak 140.67M) | Time:00:55.65 | Mem:77.60M, Peak:77.60M | Scene, ViewLayer | Finished
Saved: '/home/hatch/workspace/rpg-crawler-game/art-work/incoming/batch2/work_A/id_01_side.png'
Time: 00:56.16 (Saving: 00:00.50)

[turntable] rendered /home/hatch/workspace/rpg-crawler-game/art-work/incoming/batch2/work_A/id_01_side.png
Fra:1 Mem:18.03M (Peak 18.03M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | textured_mesh.obj
Fra:1 Mem:19.43M (Peak 19.43M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TurntableGround
Fra:1 Mem:19.43M (Peak 19.43M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Initializing
Fra:1 Mem:19.42M (Peak 19.43M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Images | Loading Image_1
Fra:1 Mem:19.42M (Peak 19.43M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Images | Loading Image_0
Fra:1 Mem:51.09M (Peak 83.44M) | Time:00:00.68 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Waiting for render to start
Fra:1 Mem:51.10M (Peak 83.44M) | Time:00:00.68 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:51.10M (Peak 83.44M) | Time:00:00.68 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Scene
Fra:1 Mem:51.10M (Peak 83.44M) | Time:00:00.68 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Shaders
Fra:1 Mem:51.18M (Peak 83.44M) | Time:00:00.68 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Procedurals
Fra:1 Mem:51.18M (Peak 83.44M) | Time:00:00.68 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Background
Fra:1 Mem:51.18M (Peak 83.44M) | Time:00:00.68 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Camera
Fra:1 Mem:51.18M (Peak 83.44M) | Time:00:00.68 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Meshes Flags
Fra:1 Mem:51.18M (Peak 83.44M) | Time:00:00.68 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Objects
Fra:1 Mem:51.18M (Peak 83.44M) | Time:00:00.68 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Objects | Copying Transformations to device
Fra:1 Mem:51.18M (Peak 83.44M) | Time:00:00.68 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Objects | Applying Static Transformations
Fra:1 Mem:51.18M (Peak 83.44M) | Time:00:00.68 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Particle Systems
Fra:1 Mem:51.18M (Peak 83.44M) | Time:00:00.68 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Particle Systems | Copying Particles to device
Fra:1 Mem:51.18M (Peak 83.44M) | Time:00:00.68 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Meshes
Fra:1 Mem:51.48M (Peak 83.44M) | Time:00:00.68 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Mesh | Computing attributes
Fra:1 Mem:52.10M (Peak 83.44M) | Time:00:00.68 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Mesh | Copying Attributes to device
Fra:1 Mem:52.10M (Peak 83.44M) | Time:00:00.69 | Mem:32.62M, Peak:32.62M | Scene, ViewLayer | Updating Scene BVH | Building
Fra:1 Mem:52.10M (Peak 83.44M) | Time:00:00.69 | Mem:32.62M, Peak:32.62M | Scene, ViewLayer | Updating Scene BVH | Building BVH
Fra:1 Mem:52.10M (Peak 83.44M) | Time:00:00.69 | Mem:33.23M, Peak:33.23M | Scene, ViewLayer | Updating Scene BVH | Building BVH 0%
Fra:1 Mem:52.10M (Peak 83.44M) | Time:00:00.71 | Mem:33.96M, Peak:34.57M | Scene, ViewLayer | Updating Scene BVH | Copying BVH to device
Fra:1 Mem:52.10M (Peak 83.44M) | Time:00:00.71 | Mem:33.96M, Peak:34.57M | Scene, ViewLayer | Updating Mesh | Computing normals
Fra:1 Mem:52.90M (Peak 83.44M) | Time:00:00.71 | Mem:33.96M, Peak:34.57M | Scene, ViewLayer | Updating Mesh | Copying Mesh to device
Fra:1 Mem:52.90M (Peak 83.44M) | Time:00:00.71 | Mem:34.76M, Peak:34.76M | Scene, ViewLayer | Updating Objects Flags
Fra:1 Mem:52.90M (Peak 83.44M) | Time:00:00.71 | Mem:34.76M, Peak:34.76M | Scene, ViewLayer | Updating Primitive Offsets
Fra:1 Mem:52.90M (Peak 83.44M) | Time:00:00.71 | Mem:34.76M, Peak:34.76M | Scene, ViewLayer | Updating Images
